Id,Channel Identifier,Abs. Time,Sender,Message,ID,Avatar,
32347,GSL_G.2_main_1,1700068595025,P.17,Ha me too,"""P.15_P.17""",694133,donkey.png
32348,GSL_G.2_main_1,1700068595789,P.19,Hi :),"""P.19_P.22""",90887,panda.png
32349,GSL_G.2_main_1,1700068595949,P.20,hi!,"""P.16_P.20""",594825,Pig.png
32350,GSL_G.2_main_1,1700068597189,P.14,what about you!,"""P.14_P.23""",464297,rabbit.png
32351,GSL_G.2_main_1,1700068598426,P.16,how are you,"""P.16_P.19""",661074,racoon.png
32352,GSL_G.2_main_1,1700068599865,P.20,h!,"""P.14_P.20""",594825,Pig.png
32353,GSL_G.2_main_1,1700068602748,P.21,i'm doing alright can't complain,"""P.20_P.21""",696373,dog2.png
32354,GSL_G.2_main_1,1700068604164,P.22,helllo~,"""P.19_P.22""",504005,dog.png
32355,GSL_G.2_main_1,1700068605212,P.16,heyyy!,"""P.16_P.20""",661074,racoon.png
32356,GSL_G.2_main_1,1700068605272,P.14,hi!,"""P.14_P.20""",464297,rabbit.png
32357,GSL_G.2_main_1,1700068605683,P.23,heyy how are you doing??,"""P.16_P.23""",976819,elephant.png
32358,GSL_G.2_main_1,1700068606031,P.17,I still need 1.5 rip,"""P.15_P.17""",694133,donkey.png
32359,GSL_G.2_main_1,1700068608059,P.14,what is your major,"""P.14_P.20""",464297,rabbit.png
32360,GSL_G.2_main_1,1700068608535,P.19,I'm good what about you?,"""P.19_P.21""",90887,panda.png
32361,GSL_G.2_main_1,1700068608938,P.22,how are you?,"""P.19_P.22""",504005,dog.png
32362,GSL_G.2_main_1,1700068610958,P.15,I was low key stressed that I wouldn't get them in time,"""P.15_P.17""",90684,monkey.png
32363,GSL_G.2_main_1,1700068616828,P.20,thats good to hear,"""P.20_P.21""",594825,Pig.png
32364,GSL_G.2_main_1,1700068620034,P.14,thanks,"""P.14_P.18""",464297,rabbit.png
32365,GSL_G.2_main_1,1700068620106,P.21,i'm alright can't complain,"""P.19_P.21""",696373,dog2.png
32366,GSL_G.2_main_1,1700068620972,P.19,I'm good what about you?,"""P.19_P.22""",90887,panda.png
32367,GSL_G.2_main_1,1700068621473,P.16,"i'm good, what about you twin?","""P.16_P.23""",661074,racoon.png
32368,GSL_G.2_main_1,1700068623902,P.15,It was so hard to find studies,"""P.15_P.17""",90684,monkey.png
32369,GSL_G.2_main_1,1700068624961,P.17,I should have been more stressed,"""P.15_P.17""",694133,donkey.png
32370,GSL_G.2_main_1,1700068627504,P.15,Hi!,"""P.15_P.20""",90684,monkey.png
32371,GSL_G.2_main_1,1700068627952,P.19,hahhhh,"""P.19_P.21""",90887,panda.png
32372,GSL_G.2_main_1,1700068628887,P.20,how's it going?,"""P.16_P.20""",594825,Pig.png
32373,GSL_G.2_main_1,1700068630508,P.14,What is your major?,"""P.14_P.18""",464297,rabbit.png
32374,GSL_G.2_main_1,1700068631587,P.15,how are you doing today,"""P.15_P.20""",90684,monkey.png
32375,GSL_G.2_main_1,1700068631755,P.23,oh cool! I'm in the engineering school,"""P.14_P.23""",976819,elephant.png
32376,GSL_G.2_main_1,1700068635067,P.19,What did you have for lunch?,"""P.19_P.21""",90887,panda.png
32377,GSL_G.2_main_1,1700068637554,P.15,haha,"""P.15_P.17""",90684,monkey.png
32378,GSL_G.2_main_1,1700068639081,P.18,Youth and social innovation,"""P.14_P.18""",551759,bear.png
32379,GSL_G.2_main_1,1700068639610,P.20,environmental science,"""P.14_P.20""",594825,Pig.png
32380,GSL_G.2_main_1,1700068640948,P.18,Wbu,"""P.14_P.18""",551759,bear.png
32381,GSL_G.2_main_1,1700068643106,P.20,how about you?,"""P.14_P.20""",594825,Pig.png
32382,GSL_G.2_main_1,1700068644539,P.22,I'm doing fine,"""P.19_P.22""",504005,dog.png
32383,GSL_G.2_main_1,1700068644780,P.15,are you excited for thanksgiving break,"""P.15_P.17""",90684,monkey.png
32384,GSL_G.2_main_1,1700068645688,P.19,I'm good what about you?,"""P.16_P.19""",90887,panda.png
32385,GSL_G.2_main_1,1700068649854,P.17,Super!,"""P.15_P.17""",694133,donkey.png
32386,GSL_G.2_main_1,1700068653143,P.23,I was thinking either systems or mechanical,"""P.14_P.23""",976819,elephant.png
32387,GSL_G.2_main_1,1700068653268,P.16,"it's going definitely, how about you?","""P.16_P.20""",661074,racoon.png
32388,GSL_G.2_main_1,1700068656499,P.20,"not too bad, how about you?","""P.15_P.20""",594825,Pig.png
32389,GSL_G.2_main_1,1700068663117,P.15,Me too! I can't wait for non dining hall food,"""P.15_P.17""",90684,monkey.png
32390,GSL_G.2_main_1,1700068664644,P.14,Cool! what year are you?,"""P.14_P.23""",464297,rabbit.png
32391,GSL_G.2_main_1,1700068665467,P.18,I like your avatar,"""P.18_P.21""",551759,bear.png
32392,GSL_G.2_main_1,1700068665624,P.21,i had rice and chicken,"""P.19_P.21""",696373,dog2.png
32393,GSL_G.2_main_1,1700068666722,P.16,i'm hanging in there doing all right,"""P.16_P.19""",661074,racoon.png
32394,GSL_G.2_main_1,1700068671508,P.14,Cool,"""P.14_P.20""",464297,rabbit.png
32395,GSL_G.2_main_1,1700068672040,P.15,I'm good!,"""P.15_P.20""",90684,monkey.png
32396,GSL_G.2_main_1,1700068673719,P.23,im doing well haha,"""P.16_P.23""",976819,elephant.png
32397,GSL_G.2_main_1,1700068674770,P.14,I want to do public policy,"""P.14_P.20""",464297,rabbit.png
32398,GSL_G.2_main_1,1700068675196,P.21,what about you?,"""P.19_P.21""",696373,dog2.png
32399,GSL_G.2_main_1,1700068675634,P.20,i feel the same way,"""P.16_P.20""",594825,Pig.png
32400,GSL_G.2_main_1,1700068675808,P.16,heyy!,"""P.14_P.16""",661074,racoon.png
32401,GSL_G.2_main_1,1700068676527,P.19,what did you have for lunch :),"""P.19_P.22""",90887,panda.png
32402,GSL_G.2_main_1,1700068679444,P.17,Real. Are you seeing family,"""P.15_P.17""",694133,donkey.png
32403,GSL_G.2_main_1,1700068679687,P.20,very ready for break,"""P.16_P.20""",594825,Pig.png
32404,GSL_G.2_main_1,1700068680532,P.14,Oh cool,"""P.14_P.18""",464297,rabbit.png
32405,GSL_G.2_main_1,1700068681914,P.23,where are you from??,"""P.16_P.23""",976819,elephant.png
32406,GSL_G.2_main_1,1700068683822,P.14,I want to do public policy,"""P.14_P.18""",464297,rabbit.png
32407,GSL_G.2_main_1,1700068687473,P.14,What year are you?,"""P.14_P.18""",464297,rabbit.png
32408,GSL_G.2_main_1,1700068688920,P.15,this is the last psych credit i need to complete my 6 so i'm super happy about that,"""P.15_P.20""",90684,monkey.png
32409,GSL_G.2_main_1,1700068692047,P.19,I did not have any but I will do after this,"""P.19_P.21""",90887,panda.png
32410,GSL_G.2_main_1,1700068692063,P.23,I'm a first year,"""P.14_P.23""",976819,elephant.png
32411,GSL_G.2_main_1,1700068692264,P.21,thanks i like yours too :),"""P.18_P.21""",696373,dog2.png
32412,GSL_G.2_main_1,1700068693829,P.23,hby,"""P.14_P.23""",976819,elephant.png
32413,GSL_G.2_main_1,1700068694142,P.14,Heyy!,"""P.14_P.16""",464297,rabbit.png
32414,GSL_G.2_main_1,1700068694464,P.18,First,"""P.14_P.18""",551759,bear.png
32415,GSL_G.2_main_1,1700068696713,P.15,yes,"""P.15_P.17""",90684,monkey.png
32416,GSL_G.2_main_1,1700068699063,P.20,haha same!,"""P.15_P.20""",594825,Pig.png
32417,GSL_G.2_main_1,1700068699274,P.19,Is it the food truck?,"""P.19_P.21""",90887,panda.png
32418,GSL_G.2_main_1,1700068700478,P.14,What is your major?,"""P.14_P.16""",464297,rabbit.png
32419,GSL_G.2_main_1,1700068703870,P.15,what about you,"""P.15_P.17""",90684,monkey.png
32420,GSL_G.2_main_1,1700068704934,P.14,Cool,"""P.14_P.18""",464297,rabbit.png
32421,GSL_G.2_main_1,1700068705561,P.18,I wanna do educational policy,"""P.14_P.18""",551759,bear.png
32422,GSL_G.2_main_1,1700068706551,P.16,that's wassup. I'm from central virginia so like Lynchburg area wbu?,"""P.16_P.23""",661074,racoon.png
32423,GSL_G.2_main_1,1700068707630,P.20,are you ready for break?,"""P.15_P.20""",594825,Pig.png
32424,GSL_G.2_main_1,1700068710175,P.22,"I haven't had lunch yet lol, I'll get lunch after this","""P.19_P.22""",504005,dog.png
32425,GSL_G.2_main_1,1700068710656,P.15,yessss,"""P.15_P.20""",90684,monkey.png
32426,GSL_G.2_main_1,1700068712610,P.15,so ready,"""P.15_P.20""",90684,monkey.png
32427,GSL_G.2_main_1,1700068714344,P.22,hbu?,"""P.19_P.22""",504005,dog.png
32428,GSL_G.2_main_1,1700068714605,P.23,hii what year are you??,"""P.20_P.23""",976819,elephant.png
32429,GSL_G.2_main_1,1700068716859,P.21,no i went back to my place and made lunch,"""P.19_P.21""",696373,dog2.png
32430,GSL_G.2_main_1,1700068719790,P.17,Nope I'm going on a trip with some friends,"""P.15_P.17""",694133,donkey.png
32431,GSL_G.2_main_1,1700068726075,P.19,Yesss,"""P.16_P.19""",90887,panda.png
32432,GSL_G.2_main_1,1700068726310,P.14,I'm a first year as well,"""P.14_P.23""",464297,rabbit.png
32433,GSL_G.2_main_1,1700068728443,P.15,what about you,"""P.15_P.20""",90684,monkey.png
32434,GSL_G.2_main_1,1700068731302,P.19,I love your avatar,"""P.16_P.19""",90887,panda.png
32435,GSL_G.2_main_1,1700068731854,P.21,how was your day?,"""P.18_P.21""",696373,dog2.png
32436,GSL_G.2_main_1,1700068732587,P.18,What’s your favorite place to eat on the corner,"""P.18_P.21""",551759,bear.png
32437,GSL_G.2_main_1,1700068734013,P.19,it's cute,"""P.16_P.19""",90887,panda.png
32438,GSL_G.2_main_1,1700068734081,P.20,i cant wait for homecooked meals lol,"""P.15_P.20""",594825,Pig.png
32439,GSL_G.2_main_1,1700068734905,P.16,I can't wait to go home on friday i've been looking forward to this for so long,"""P.16_P.20""",661074,racoon.png
32440,GSL_G.2_main_1,1700068740119,P.15,fun! where are you going,"""P.15_P.17""",90684,monkey.png
32441,GSL_G.2_main_1,1700068741594,P.23,ohh cool im from Arlington like right outside DC,"""P.16_P.23""",976819,elephant.png
32442,GSL_G.2_main_1,1700068744538,P.20,oh thats really cool,"""P.14_P.20""",594825,Pig.png
32443,GSL_G.2_main_1,1700068746115,P.15,sameee,"""P.15_P.20""",90684,monkey.png
32444,GSL_G.2_main_1,1700068746511,P.18,My day is pretty solid,"""P.18_P.21""",551759,bear.png
32445,GSL_G.2_main_1,1700068746574,P.21,my favorite place is asado,"""P.18_P.21""",696373,dog2.png
32446,GSL_G.2_main_1,1700068746882,P.20,in batten?,"""P.14_P.20""",594825,Pig.png
32447,GSL_G.2_main_1,1700068750586,P.19,Oh that's nice,"""P.19_P.21""",90887,panda.png
32448,GSL_G.2_main_1,1700068751536,P.17,New York!,"""P.15_P.17""",694133,donkey.png
32449,GSL_G.2_main_1,1700068752938,P.23,what year are you?,"""P.16_P.23""",976819,elephant.png
32450,GSL_G.2_main_1,1700068754719,P.18,How’s your day,"""P.18_P.21""",551759,bear.png
32451,GSL_G.2_main_1,1700068759023,P.18,Asado is delicious,"""P.18_P.21""",551759,bear.png
32452,GSL_G.2_main_1,1700068762270,P.19,Do you have classes in the afternoon?,"""P.19_P.21""",90887,panda.png
32453,GSL_G.2_main_1,1700068762411,P.14,Hopefully,"""P.14_P.20""",464297,rabbit.png
32454,GSL_G.2_main_1,1700068763465,P.20,yesss me too,"""P.16_P.20""",594825,Pig.png
32455,GSL_G.2_main_1,1700068764794,P.22,hello~,"""P.18_P.22""",504005,dog.png
32456,GSL_G.2_main_1,1700068767439,P.21,my day has been alright,"""P.18_P.21""",696373,dog2.png
32457,GSL_G.2_main_1,1700068768471,P.16,little racoon it reminds me of rocket but I think you got the best one who doesn't love pandas,"""P.16_P.19""",661074,racoon.png
32458,GSL_G.2_main_1,1700068769223,P.20,are you from va?,"""P.16_P.20""",594825,Pig.png
32459,GSL_G.2_main_1,1700068769572,P.15,what is your favorite thanksgiving food,"""P.15_P.20""",90684,monkey.png
32460,GSL_G.2_main_1,1700068770223,P.19,Me toooo,"""P.19_P.22""",90887,panda.png
32461,GSL_G.2_main_1,1700068770728,P.18,Hey,"""P.18_P.22""",551759,bear.png
32462,GSL_G.2_main_1,1700068775703,P.18,I like your avatar,"""P.18_P.22""",551759,bear.png
32463,GSL_G.2_main_1,1700068777055,P.16,yess wbu,"""P.16_P.20""",661074,racoon.png
32464,GSL_G.2_main_1,1700068780180,P.21,what's your favorite place to eat on the corner,"""P.18_P.21""",696373,dog2.png
32465,GSL_G.2_main_1,1700068780457,P.15,That's so cool!,"""P.15_P.17""",90684,monkey.png
32466,GSL_G.2_main_1,1700068781346,P.23,ohh nice where are you living?,"""P.14_P.23""",976819,elephant.png
32467,GSL_G.2_main_1,1700068784003,P.22,haha thanks,"""P.18_P.22""",504005,dog.png
32468,GSL_G.2_main_1,1700068790077,P.14,What year are you?,"""P.14_P.20""",464297,rabbit.png
32469,GSL_G.2_main_1,1700068790381,P.22,how's everything going,"""P.18_P.22""",504005,dog.png
32470,GSL_G.2_main_1,1700068791740,P.15,are you going to the city or somewhere else,"""P.15_P.17""",90684,monkey.png
32471,GSL_G.2_main_1,1700068796682,P.20,im a vegetarian so we always have stuffed shell pasta which is probably my favorite,"""P.15_P.20""",594825,Pig.png
32472,GSL_G.2_main_1,1700068797685,P.16,i'm a first year hbu,"""P.16_P.23""",661074,racoon.png
32473,GSL_G.2_main_1,1700068799830,P.23,hii,"""P.15_P.23""",976819,elephant.png
32474,GSL_G.2_main_1,1700068799894,P.19,do you have class in the afternoon?,"""P.19_P.22""",90887,panda.png
32475,GSL_G.2_main_1,1700068799900,P.20,or cranberry sauce,"""P.15_P.20""",594825,Pig.png
32476,GSL_G.2_main_1,1700068803766,P.17,Just the city,"""P.15_P.17""",694133,donkey.png
32477,GSL_G.2_main_1,1700068804146,P.16,psych wbu,"""P.14_P.16""",661074,racoon.png
32478,GSL_G.2_main_1,1700068807268,P.18,Probably Asado too,"""P.18_P.21""",551759,bear.png
32479,GSL_G.2_main_1,1700068808151,P.20,ya im from arlington,"""P.16_P.20""",594825,Pig.png
32480,GSL_G.2_main_1,1700068809676,P.20,you?,"""P.16_P.20""",594825,Pig.png
32481,GSL_G.2_main_1,1700068810550,P.23,how are you doing?,"""P.15_P.23""",976819,elephant.png
32482,GSL_G.2_main_1,1700068812348,P.21,yeah I have 2 but i'm going to skip one of them so I can do homework,"""P.19_P.21""",696373,dog2.png
32483,GSL_G.2_main_1,1700068812381,P.16,heyy!,"""P.15_P.16""",661074,racoon.png
32484,GSL_G.2_main_1,1700068812750,P.18,I also love the boba place,"""P.18_P.21""",551759,bear.png
32485,GSL_G.2_main_1,1700068813478,P.22,"yep, i only have one class today","""P.19_P.22""",504005,dog.png
32486,GSL_G.2_main_1,1700068816835,P.21,what about you,"""P.19_P.21""",696373,dog2.png
32487,GSL_G.2_main_1,1700068819144,P.16,lynchburg,"""P.16_P.20""",661074,racoon.png
32488,GSL_G.2_main_1,1700068819330,P.22,hbu?,"""P.19_P.22""",504005,dog.png
32489,GSL_G.2_main_1,1700068821206,P.20,im a first year,"""P.14_P.20""",594825,Pig.png
32490,GSL_G.2_main_1,1700068821631,P.17,Have you been?,"""P.15_P.17""",694133,donkey.png
32491,GSL_G.2_main_1,1700068821931,P.15,that sounds so good,"""P.15_P.20""",90684,monkey.png
32492,GSL_G.2_main_1,1700068823617,P.18,It’s going alright,"""P.18_P.22""",551759,bear.png
32493,GSL_G.2_main_1,1700068824561,P.18,Wbu,"""P.18_P.22""",551759,bear.png
32494,GSL_G.2_main_1,1700068826695,P.20,what about you?,"""P.14_P.20""",594825,Pig.png
32495,GSL_G.2_main_1,1700068827948,P.23,yeah me too,"""P.16_P.23""",976819,elephant.png
32496,GSL_G.2_main_1,1700068830624,P.20,hi!,"""P.17_P.20""",594825,Pig.png
32497,GSL_G.2_main_1,1700068834784,P.16,you're the second person i've met from arlington on here,"""P.16_P.20""",661074,racoon.png
32498,GSL_G.2_main_1,1700068837096,P.23,what dorm are you in?,"""P.16_P.23""",976819,elephant.png
32499,GSL_G.2_main_1,1700068838179,P.19,Ohhh thank you :D,"""P.16_P.19""",90887,panda.png
32500,GSL_G.2_main_1,1700068843943,P.20,do you have a favorite?,"""P.15_P.20""",594825,Pig.png
32501,GSL_G.2_main_1,1700068847376,P.16,balz wbu,"""P.16_P.23""",661074,racoon.png
32502,GSL_G.2_main_1,1700068850144,P.20,oh no way,"""P.16_P.20""",594825,Pig.png
32503,GSL_G.2_main_1,1700068850243,P.22,"same same, I'm waiting for next week to arriveeee","""P.18_P.22""",504005,dog.png
32504,GSL_G.2_main_1,1700068857863,P.22,can't do this anymore lol,"""P.18_P.22""",504005,dog.png
32505,GSL_G.2_main_1,1700068858283,P.23,hii what year are you?,"""P.17_P.23""",976819,elephant.png
32506,GSL_G.2_main_1,1700068858823,P.20,thats crazy,"""P.16_P.20""",594825,Pig.png
32507,GSL_G.2_main_1,1700068861182,P.21,"Are you talking about Moge Tee? if so, i love that place too","""P.18_P.21""",696373,dog2.png
32508,GSL_G.2_main_1,1700068865438,P.18,Are you going home for thanksgiving?,"""P.18_P.22""",551759,bear.png
32509,GSL_G.2_main_1,1700068867539,P.15,"i really love to bake so i'm most excited for desserts, pumpkin pie is my favorite","""P.15_P.20""",90684,monkey.png
32510,GSL_G.2_main_1,1700068870750,P.16,lot of arlington and dc people i see,"""P.16_P.20""",661074,racoon.png
32511,GSL_G.2_main_1,1700068873382,P.19,What year are you in,"""P.16_P.19""",90887,panda.png
32512,GSL_G.2_main_1,1700068873868,P.20,im a first year!,"""P.20_P.23""",594825,Pig.png
32513,GSL_G.2_main_1,1700068875601,P.16,yeah it is crazt,"""P.16_P.20""",661074,racoon.png
32514,GSL_G.2_main_1,1700068877049,P.20,what about you?,"""P.20_P.23""",594825,Pig.png
32515,GSL_G.2_main_1,1700068877243,P.23,oh fun I'm in page,"""P.16_P.23""",976819,elephant.png
32516,GSL_G.2_main_1,1700068877624,P.22,Yep,"""P.18_P.22""",504005,dog.png
32517,GSL_G.2_main_1,1700068877794,P.16,crazy,"""P.16_P.20""",661074,racoon.png
32518,GSL_G.2_main_1,1700068878651,P.14,Kellogg!,"""P.14_P.23""",464297,rabbit.png
32519,GSL_G.2_main_1,1700068880695,P.22,hbu?,"""P.18_P.22""",504005,dog.png
32520,GSL_G.2_main_1,1700068881927,P.14,What about you?,"""P.14_P.23""",464297,rabbit.png
32521,GSL_G.2_main_1,1700068886517,P.15,i have not been to the city but i've always wanted to go,"""P.15_P.17""",90684,monkey.png
32522,GSL_G.2_main_1,1700068888223,P.18,Yessss that’s what it’s called,"""P.18_P.21""",551759,bear.png
32523,GSL_G.2_main_1,1700068889270,P.16,first year wbu,"""P.16_P.19""",661074,racoon.png
32524,GSL_G.2_main_1,1700068890782,P.20,oooh awesome,"""P.15_P.20""",594825,Pig.png
32525,GSL_G.2_main_1,1700068890824,P.18,It’s so good,"""P.18_P.21""",551759,bear.png
32526,GSL_G.2_main_1,1700068890840,P.14,Oh same,"""P.14_P.20""",464297,rabbit.png
32527,GSL_G.2_main_1,1700068894179,P.14,Where are you living?,"""P.14_P.20""",464297,rabbit.png
32528,GSL_G.2_main_1,1700068899103,P.18,Yeah I’m actually leaving Friday,"""P.18_P.22""",551759,bear.png
32529,GSL_G.2_main_1,1700068902999,P.14,Cool,"""P.14_P.16""",464297,rabbit.png
32530,GSL_G.2_main_1,1700068903401,P.15,my older brother goes to west point though so i've been to new york state a few times,"""P.15_P.17""",90684,monkey.png
32531,GSL_G.2_main_1,1700068905151,P.20,i know a lot of people who dont like pumpkin pie but i dont get it,"""P.15_P.20""",594825,Pig.png
32532,GSL_G.2_main_1,1700068906843,P.14,I want to do public policy,"""P.14_P.16""",464297,rabbit.png
32533,GSL_G.2_main_1,1700068910846,P.19,I do not have classes this afternoon but I have tons of homework to do,"""P.19_P.21""",90887,panda.png
32534,GSL_G.2_main_1,1700068911423,P.23,what do you want to major in?,"""P.16_P.23""",976819,elephant.png
32535,GSL_G.2_main_1,1700068914323,P.20,yeah definitely,"""P.16_P.20""",594825,Pig.png
32536,GSL_G.2_main_1,1700068920342,P.16,i was in page a lot during summer sessions.,"""P.16_P.23""",661074,racoon.png
32537,GSL_G.2_main_1,1700068921169,P.19,I've not started yet :(,"""P.19_P.21""",90887,panda.png
32538,GSL_G.2_main_1,1700068922557,P.15,i know its so amazing,"""P.15_P.20""",90684,monkey.png
32539,GSL_G.2_main_1,1700068924417,P.21,Yeah my favorite thing to get there is the mango slush w/cheese foam,"""P.18_P.21""",696373,dog2.png
32540,GSL_G.2_main_1,1700068926387,P.20,nova kids are taking over,"""P.16_P.20""",594825,Pig.png
32541,GSL_G.2_main_1,1700068933235,P.23,oh cool so am I!,"""P.20_P.23""",976819,elephant.png
32542,GSL_G.2_main_1,1700068933752,P.16,i think I wanna do psychology,"""P.16_P.23""",661074,racoon.png
32543,GSL_G.2_main_1,1700068934584,P.18,Ooh I haven’t gotten that,"""P.18_P.21""",551759,bear.png
32544,GSL_G.2_main_1,1700068938559,P.20,especially the one from costco,"""P.15_P.20""",594825,Pig.png
32545,GSL_G.2_main_1,1700068938826,P.22,"That's nice, you'll get to enjoy a whole week off","""P.18_P.22""",504005,dog.png
32546,GSL_G.2_main_1,1700068944637,P.18,I usually get the one with fresh fruit and oolong tea,"""P.18_P.21""",551759,bear.png
32547,GSL_G.2_main_1,1700068946427,P.20,awesome!,"""P.20_P.23""",594825,Pig.png
32548,GSL_G.2_main_1,1700068947565,P.15,yes that one is so good,"""P.15_P.20""",90684,monkey.png
32549,GSL_G.2_main_1,1700068948141,P.23,do you like uva?,"""P.20_P.23""",976819,elephant.png
32550,GSL_G.2_main_1,1700068948482,P.19,I do not have classes this afternoon but I have much work to do...,"""P.19_P.22""",90887,panda.png
32551,GSL_G.2_main_1,1700068953813,P.20,i think so,"""P.20_P.23""",594825,Pig.png
32552,GSL_G.2_main_1,1700068954263,P.18,I can’t remember what it’s called,"""P.18_P.21""",551759,bear.png
32553,GSL_G.2_main_1,1700068956052,P.19,me too,"""P.16_P.19""",90887,panda.png
32554,GSL_G.2_main_1,1700068956449,P.17,How is it?,"""P.15_P.17""",694133,donkey.png
32555,GSL_G.2_main_1,1700068961768,P.15,i usually make mine from scratch but its a pretty long process,"""P.15_P.20""",90684,monkey.png
32556,GSL_G.2_main_1,1700068962595,P.23,ohh cool,"""P.16_P.23""",976819,elephant.png
32557,GSL_G.2_main_1,1700068967696,P.20,its been a weird adjustment but i like the school!,"""P.20_P.23""",594825,Pig.png
32558,GSL_G.2_main_1,1700068967916,P.18,Yeah fr,"""P.18_P.22""",551759,bear.png
32559,GSL_G.2_main_1,1700068968445,P.15,hi!,"""P.15_P.16""",90684,monkey.png
32560,GSL_G.2_main_1,1700068968963,P.21,"I mean there's still plenty of time to get homework done, but I wouldn't blame you if you didn't do it :)","""P.19_P.21""",696373,dog2.png
32561,GSL_G.2_main_1,1700068970978,P.15,how are you doing,"""P.15_P.16""",90684,monkey.png
32562,GSL_G.2_main_1,1700068972642,P.16,"yeah I can tell there is so many nova people, I feel like my part of virginia just doesn't exist","""P.16_P.20""",661074,racoon.png
32563,GSL_G.2_main_1,1700068975362,P.18,What’s your favorite class you’re in,"""P.18_P.22""",551759,bear.png
32564,GSL_G.2_main_1,1700068977160,P.22,"i see, you got this!","""P.19_P.22""",504005,dog.png
32565,GSL_G.2_main_1,1700068978270,P.20,ohhh true,"""P.15_P.20""",594825,Pig.png
32566,GSL_G.2_main_1,1700068978368,P.23,what classes did you take over the summer?,"""P.16_P.23""",976819,elephant.png
32567,GSL_G.2_main_1,1700068986523,P.16,i'm good what about you,"""P.15_P.16""",661074,racoon.png
32568,GSL_G.2_main_1,1700068987920,P.20,but usually the homemade ones are the best,"""P.15_P.20""",594825,Pig.png
32569,GSL_G.2_main_1,1700068989039,P.22,just survive this week!,"""P.19_P.22""",504005,dog.png
32570,GSL_G.2_main_1,1700068990836,P.21,ooh that's sounds good,"""P.18_P.21""",696373,dog2.png
32571,GSL_G.2_main_1,1700068992020,P.19,what major do you want to study?,"""P.16_P.19""",90887,panda.png
32572,GSL_G.2_main_1,1700068993217,P.18,What’s your favorite flavor of ice cream,"""P.18_P.23""",551759,bear.png
32573,GSL_G.2_main_1,1700069012678,P.20,are there any people from your high school here?,"""P.16_P.20""",594825,Pig.png
32574,GSL_G.2_main_1,1700069013292,P.23,haha yeah its definitely a big change from hs,"""P.20_P.23""",976819,elephant.png
32575,GSL_G.2_main_1,1700069017255,P.16,that's the first time i've heard of someone wanting to do public policy that's really cool,"""P.14_P.16""",661074,racoon.png
32576,GSL_G.2_main_1,1700069017842,P.21,how has the semester been for you,"""P.18_P.21""",696373,dog2.png
32577,GSL_G.2_main_1,1700069021873,P.20,shannon wbu?,"""P.14_P.20""",594825,Pig.png
32578,GSL_G.2_main_1,1700069023832,P.18,What’s your favorite restaurant on the corner,"""P.18_P.20""",551759,bear.png
32579,GSL_G.2_main_1,1700069027688,P.14,Where are you living?,"""P.14_P.18""",464297,rabbit.png
32580,GSL_G.2_main_1,1700069029813,P.22,I really like abnormal psych rn even though the tests are hard,"""P.18_P.22""",504005,dog.png
32581,GSL_G.2_main_1,1700069033245,P.20,yeah for sure,"""P.20_P.23""",594825,Pig.png
32582,GSL_G.2_main_1,1700069036221,P.14,Oh cool,"""P.14_P.20""",464297,rabbit.png
