StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ICsignature_Id,ICsignature_Name,ICsignature_Size,ICsignature_Type,SPANE_1,SPANE_2,SPANE_3,SPANE_4,SPANE_5,SPANE_6,SPANE_7,SPANE_8,SPANE_9,SPANE_10,SPANE_11,SPANE_12,age,netID,year,gender,gender_5_TEXT,race,race_6_TEXT,mother_ed,father_ed,family_income,Q14,Q15,SubID
2023-11-15 11:23:28,2023-11-15 11:27:35,0,73.12.29.8,100,246,1,2023-11-15 11:27:36,R_W7l3VMwioPNCN57,,,,,38.0271,-78.4797,anonymous,EN,F_2aejz8Ot0EIZwKy,signature.png,12733,image/png,4,4,4,3,4,3,4,3,2,3,2,3,28,nre3qs,3,1,,4,,6,7,21,1,2,939559
2023-11-15 11:26:25,2023-11-15 11:28:39,0,199.111.213.112,100,134,1,2023-11-15 11:28:40,R_2SjAHR07Xi0gnGm,,,,,38.041,-78.4883,anonymous,EN,F_SUlVJudAddV0uR3,signature.png,15361,image/png,4,3,5,2,4,2,4,3,1,4,1,3,18,rys9yn,1,1,,4,,5,5,21,1,2,689043
2023-11-15 11:23:30,2023-11-15 11:29:59,0,199.111.227.8,100,388,1,2023-11-15 11:30:00,R_12i3WVvLIZiUvOB,,,,,38.0321,-78.489,anonymous,EN,F_6yXY0lx6AnUaCDD,signature.png,15036,image/png,3,5,3,4,2,3,3,4,4,2,4,2,19,dpb6ar,2,1,,1,,2,2,7,2,1,130368
2023-11-17 10:49:28,2023-11-17 10:51:29,0,199.111.213.252,100,121,1,2023-11-17 10:51:31,R_1LSZrxT4eNNP4Uq,,,,,38.041,-78.4883,anonymous,EN,F_29v9V2FGAduPvUV,signature.png,18365,image/png,4,3,4,2,4,4,3,3,2,3,2,3,18,hsq6ga,1,1,,"5,7",,3,3,5,2,1,492825
2023-11-17 10:49:29,2023-11-17 10:51:48,0,198.90.112.65,100,139,1,2023-11-17 10:51:49,R_1n7wTl53MH1R1Sr,,,,,38.0321,-78.489,anonymous,EN,F_21v6aAFp3j1ESME,signature.png,7486,image/png,4,2,4,1,3,2,4,1,1,4,1,4,19,xxw7gc,2,1,,8,,2,1,5,2,2,884325
2023-11-17 10:49:28,2023-11-17 10:51:49,0,199.111.213.76,100,141,1,2023-11-17 10:51:50,R_sOtT5wNbvW1gMdb,,,,,38.041,-78.4883,anonymous,EN,F_aia57qxNtRU0D5f,signature.png,8898,image/png,3,3,3,3,3,3,3,2,2,4,2,4,20,kjp6et,2,1,,8,,5,,4,1,2,981471
2023-11-17 10:49:30,2023-11-17 10:51:55,0,199.111.227.18,100,144,1,2023-11-17 10:51:56,R_28D4CAnCY6cdx5M,,,,,38.0321,-78.489,anonymous,EN,F_2PgKDEUh3djhi6Y,signature.png,5870,image/png,4,3,4,2,4,3,4,2,4,3,2,3,19,aef6vk,2,1,,5,,6,7,7,1,1,307264
2023-11-17 10:49:28,2023-11-17 10:52:18,0,198.90.112.65,100,169,1,2023-11-17 10:52:19,R_1rOEc9xQuq2ta0Y,,,,,38.0321,-78.489,anonymous,EN,F_2wystaY3xUSSgfU,signature.png,8580,image/png,4,2,4,3,4,2,4,2,2,3,2,4,19,sek2pr,2,1,,4,,6,5,7,1,1,936649
2023-11-17 10:49:28,2023-11-17 10:52:22,0,199.111.212.141,100,174,1,2023-11-17 10:52:23,R_1ikuT8oCESrz2gJ,,,,,38.041,-78.4883,anonymous,EN,F_2xOUC4WCNqOuSG3,signature.png,6176,image/png,4,3,2,4,2,3,4,2,1,4,2,1,19,wgn2ee,1,1,,6,North African,2,2,6,2,2,660772
2023-11-17 10:49:30,2023-11-17 10:52:25,0,199.111.213.107,100,174,1,2023-11-17 10:52:26,R_2eVlcqMSxlO9U1B,,,,,38.041,-78.4883,anonymous,EN,F_3mgyXdCP8zKTP36,signature.png,12464,image/png,3,3,5,4,4,3,5,3,4,4,3,4,18,aes6ww,1,1,,"4,8",,7,7,21,1,1,255359
2023-11-17 10:49:30,2023-11-17 10:52:48,0,24.149.81.39,100,198,1,2023-11-17 10:52:49,R_Zw4h2FtsJvD1bzj,,,,,36.9339,-81.0882,anonymous,EN,F_egKPQ0qTeooP3Y5,signature.png,10058,image/png,5,3,5,2,3,3,5,4,2,3,2,3,18,tss7ap,1,1,,4,,5,4,3,1,2,942298
2023-11-17 10:49:28,2023-11-17 10:52:55,0,199.111.213.26,100,206,1,2023-11-17 10:52:56,R_6z2QqqSXXIcGepb,,,,,38.041,-78.4883,anonymous,EN,F_1jDFlcfHb1xQx0r,signature.png,8921,image/png,4,3,4,2,5,1,3,2,1,3,2,4,20,fjb7de,2,2,,4,,7,6,7,1,2,451102
2023-11-17 10:49:28,2023-11-17 10:52:58,0,199.111.213.126,100,209,1,2023-11-17 10:52:59,R_1jxCazViBxMJcM2,,,,,38.041,-78.4883,anonymous,EN,F_3F3BMRJOnlfbnsG,signature.png,9224,image/png,4,4,2,4,2,3,4,4,3,2,3,3,19,nba6hj,1,1,,5,,5,5,21,1,1,167407
2023-11-17 10:49:29,2023-11-17 10:53:05,0,199.111.213.15,100,216,1,2023-11-17 10:53:07,R_2wNd3RB9QU37sfg,,,,,38.041,-78.4883,anonymous,EN,F_umj44vQSHVHuQyl,signature.png,9810,image/png,4,3,4,3,4,2,4,2,1,4,2,3,19,nxj3th,1,2,,4,,6,7,21,1,2,269224
2023-11-17 10:50:24,2023-11-17 10:59:16,0,67.172.198.251,100,531,1,2023-11-17 10:59:17,R_1Fhni9MlmYhKNyE,,,,,38.0321,-78.489,anonymous,EN,F_3LclI24iIJ6zvca,signature.png,8395,image/png,2,5,3,4,2,5,2,4,4,2,4,2,20,jmc3kn,2,3,,5,,5,6,21,1,2,114612
2023-11-17 13:20:23,2023-11-17 13:22:21,0,71.63.81.34,100,117,1,2023-11-17 13:22:22,R_3HSxekliau4YasM,,,,,38.0271,-78.4797,anonymous,EN,F_shz7muC8vCz6Eoh,signature.png,6153,image/png,4,2,4,2,4,2,4,2,2,4,2,4,21,asw5ev,4,1,,4,,7,6,7,1,1,963934
2023-11-17 13:20:23,2023-11-17 13:22:34,0,75.102.136.107,100,130,1,2023-11-17 13:22:35,R_3HHv1xXSI42HEMH,,,,,38.0321,-78.489,anonymous,EN,F_2xz3h997p9SsaQt,signature.png,14943,image/png,3,4,4,3,3,3,4,4,3,2,2,2,19,hkh8ud,2,1,,"4,5",,5,5,21,1,2,921274
2023-11-17 13:20:21,2023-11-17 13:23:07,0,184.170.114.66,100,166,1,2023-11-17 13:23:08,R_Rmp114Sqvrs0MM1,,,,,39.2651,-78.1961,anonymous,EN,F_1MNkOKOxK2VTwZ7,signature.png,7816,image/png,4,3,3,3,2,3,3,2,5,3,1,3,20,ggz9ht,3,2,,8,,2,1,5,2,2,427326
2023-11-17 13:20:26,2023-11-17 13:23:16,0,199.111.225.222,100,169,1,2023-11-17 13:23:17,R_3GdAGk1Zdb0iqRF,,,,,38.0321,-78.489,anonymous,EN,F_1IuEHyFbEsACo61,signature.png,5000,image/png,5,2,5,2,5,2,5,2,2,5,1,5,19,dxm8nr,2,1,,"4,7",,7,7,21,1,2,13560
2023-11-17 13:20:28,2023-11-17 13:23:19,0,174.206.40.142,100,170,1,2023-11-17 13:23:20,R_32J8nOKiRDDtJZM,,,,,37.2555,-80.0531,anonymous,EN,F_2TmzXEe2db9jHNn,signature.png,12696,image/png,4,2,4,2,3,2,4,2,1,3,2,5,18,mvg5eq,1,2,,4,,6,6,21,1,2,119108
2023-11-17 13:20:22,2023-11-17 13:23:20,0,199.111.212.176,100,178,1,2023-11-17 13:23:21,R_24zUSw3oadMgfnG,,,,,38.041,-78.4883,anonymous,EN,F_2wKPxXsDYEkcUiE,signature.png,8363,image/png,4,2,4,2,5,2,3,4,2,4,3,4,18,wpr7py,1,1,,8,,3,4,21,2,2,176865
2023-11-17 13:20:33,2023-11-17 13:23:52,0,73.148.104.3,100,198,1,2023-11-17 13:23:53,R_2727AnohbU65mJ5,,,,,38.0321,-78.489,anonymous,EN,F_3I9VC46Xnj9HB7Y,signature.png,9325,image/png,4,3,4,3,4,3,4,3,3,4,2,4,20,vhh8km,3,1,,6,,5,5,21,1,2,41723
2023-11-17 13:20:21,2023-11-17 13:24:15,0,174.206.42.126,100,233,1,2023-11-17 13:24:15,R_PO3nSeXpd411qjT,,,,,37.3155,-79.5335,anonymous,EN,F_3RgXkmgqtPkIAGD,signature.png,13090,image/png,3,4,2,3,3,2,2,2,1,2,1,3,21,pdf8ya,3,3,,4,,5,5,7,1,2,259141
2023-11-17 13:20:49,2023-11-17 13:24:28,0,75.102.136.111,100,219,1,2023-11-17 13:24:29,R_27QcwweMpACKARW,,,,,38.0321,-78.489,anonymous,EN,F_3hiL0uoiEHfNm8O,signature.png,16032,image/png,3,3,4,2,3,4,3,2,3,3,3,3,20,ggw3dz,2,2,,4,,6,6,7,1,1,869923
2023-11-17 13:20:23,2023-11-17 13:24:28,0,73.216.69.138,100,245,1,2023-11-17 13:24:30,R_1pQ0l9QrAN2tZ52,,,,,38.0271,-78.4797,anonymous,EN,F_22IXhzuPVfZ4ARo,signature.png,16933,image/png,3,2,3,2,3,2,3,1,1,3,1,3,18,gpr7xd,1,1,,5,,5,5,21,1,1,272262
2023-11-17 13:20:32,2023-11-17 13:24:58,0,199.111.213.125,100,265,1,2023-11-17 13:24:59,R_1dalohRh5FBZzmK,,,,,38.041,-78.4883,anonymous,EN,F_1Eh2XnNzUzYVKmb,signature.png,13939,image/png,4,2,4,2,4,2,4,2,2,3,2,4,18,azr3fz,1,1,,"4,5",,7,5,21,1,2,925154
2023-11-17 13:26:49,2023-11-17 13:27:49,0,184.170.114.66,100,59,1,2023-11-17 13:27:50,R_3oX7aFua9KFZlRU,,,,,39.2651,-78.1961,anonymous,EN,F_1GOniiCzCayKX2B,signature.png,6969,image/png,3,3,3,3,2,2,2,4,2,4,2,4,20,ggz9ht,3,2,,8,,2,1,3,2,2,382504
2023-11-17 13:31:55,2023-11-17 13:35:42,0,199.111.213.223,100,226,1,2023-11-17 13:35:43,R_1jHXlXV8Bczi0AM,,,,,38.041,-78.4883,anonymous,EN,F_C3RityNgqq3VCKt,signature.png,9577,image/png,3,3,3,3,3,2,3,3,2,3,1,3,19,zmd2wq,2,2,,1,,,,4,2,2,426231
2023-11-20 09:36:12,2023-11-20 09:37:34,0,96.246.220.150,100,81,1,2023-11-20 09:37:35,R_1GIfiNQnedfIZD2,,,,,41.1462,-73.9966,anonymous,EN,F_1gnfhKtFEaw1VBl,signature.png,8482,image/png,4,3,4,3,4,3,5,3,4,4,3,4,18,yys7pq,1,1,,4,,6,7,7,1,1,951397
2023-11-20 09:36:11,2023-11-20 09:37:49,0,64.99.233.231,100,98,1,2023-11-20 09:37:50,R_2B2nJUIkt8eqPVQ,,,,,38.0321,-78.489,anonymous,EN,F_vH9JhROr4MqauxX,signature.png,7602,image/png,4,3,4,3,4,2,5,2,2,5,2,5,20,hzm3wc,2,1,,4,,6,7,21,1,1,144933
2023-11-20 09:36:12,2023-11-20 09:38:03,0,173.54.184.86,100,110,1,2023-11-20 09:38:04,R_2y8ZX9k1x0ox1R4,,,,,40.6793,-74.5574,anonymous,EN,F_2sRwKmWJQRhLwNM,signature.png,7152,image/png,4,3,4,3,4,3,4,3,4,3,3,3,19,jys7zk,2,1,,4,,6,6,21,1,1,173913
2023-11-20 09:36:22,2023-11-20 09:38:11,0,74.96.75.169,100,109,1,2023-11-20 09:38:12,R_2PBve2Sj4R1OvP1,,,,,38.8263,-77.2111,anonymous,EN,F_1f2YZVPYPes3AGC,signature.png,6052,image/png,3,2,3,2,3,2,4,2,1,3,1,2,18,Bmw7jv,1,1,,7,,6,7,21,1,2,232780
2023-11-20 09:36:09,2023-11-20 09:38:19,0,72.66.54.200,100,129,1,2023-11-20 09:38:20,R_1hz2B4c4IWSUgai,,,,,38.93,-77.35,anonymous,EN,F_UGdEzRYwnKQJcyZ,signature.png,6871,image/png,4,3,3,3,4,2,4,2,2,4,2,3,19,urj6um,2,1,,5,,5,6,21,1,2,448989
2023-11-20 09:36:09,2023-11-20 09:38:22,0,199.111.225.26,100,132,1,2023-11-20 09:38:23,R_1dLjLntKoxjFjbm,,,,,38.0321,-78.489,anonymous,EN,F_25XaS1n0sBjp79K,signature.png,10177,image/png,4,4,4,1,4,3,1,2,1,3,1,3,20,ugm2xv,2,1,,4,,6,6,21,1,2,911655
2023-11-20 09:36:09,2023-11-20 09:38:36,0,71.126.134.154,100,146,1,2023-11-20 09:38:37,R_6yxrX57KeefHVu1,,,,,38.6759,-77.3157,anonymous,EN,F_2zjCzimPFWR9BY7,signature.png,12535,image/png,3,2,4,2,4,3,3,2,1,4,1,4,19,pmw4nm,2,1,,8,,6,5,21,1,2,301090
2023-11-20 09:36:11,2023-11-20 09:38:53,0,206.248.255.163,100,162,1,2023-11-20 09:38:55,R_2OTpUHUIN1ZwNOS,,,,,38.0321,-78.489,anonymous,EN,F_7UjpoFWXdfeJI1X,signature.png,9773,image/png,3,4,3,3,4,3,3,3,5,4,4,4,19,umf3ee,2,1,,5,,6,5,7,1,2,67560
2023-11-20 09:36:15,2023-11-20 09:39:02,0,73.12.50.47,100,166,1,2023-11-20 09:39:03,R_5dKtwRMBMg9uipb,,,,,38.0321,-78.489,anonymous,EN,F_3eyuPV9Fsklaegn,signature.png,17239,image/png,4,4,4,3,3,3,4,2,2,3,3,2,20,rez4ue,3,1,,4,,6,6,7,1,2,397901
2023-11-20 09:36:15,2023-11-20 09:39:11,0,97.126.24.177,100,175,1,2023-11-20 09:39:12,R_shdRo9WYV24kenn,,,,,47.6859,-122.2994,anonymous,EN,F_qO49f5GUTKA0GHL,signature.png,8144,image/png,4,2,4,3,4,2,4,2,2,4,3,5,18,ryn5ba,1,1,,4,,5,5,8,1,1,578402
2023-11-20 09:36:33,2023-11-20 09:39:42,0,173.66.2.8,100,188,1,2023-11-20 09:39:43,R_2CjQ95ykMsfbCC9,,,,,38.8476,-77.3281,anonymous,EN,F_3dQXjE6AqGXb0je,signature.png,12397,image/png,3,3,3,2,3,2,3,2,3,3,2,3,20,qhq2wq,2,1,,4,,6,6,6,1,1,465585
2023-12-04 09:36:53,2023-12-04 09:38:39,0,199.111.213.235,100,105,1,2023-12-04 09:38:40,R_eV6C8WwpcO2BV9T,,,,,38.0321,-78.489,anonymous,EN,F_2UWbpR4q7Qp37Y9,signature.png,9666,image/png,4,4,4,4,3,4,3,3,2,4,3,4,25,mnj2hs,3,2,,"4,8",,3,5,6,1,2,245276
2023-12-04 09:37:18,2023-12-04 09:38:55,0,199.111.213.12,100,97,1,2023-12-04 09:38:57,R_3sBuKT6bioH6OSW,,,,,38.0321,-78.489,anonymous,EN,F_3qX0DgOsMyr5Uc2,signature.png,12078,image/png,4,2,4,2,4,2,4,3,4,4,1,2,18,urz8vj,1,1,,5,,3,5,21,1,2,645930
2023-12-04 09:36:54,2023-12-04 09:38:56,0,67.129.8.225,100,122,1,2023-12-04 09:38:57,R_337T7bgZ916zJ1E,,,,,38.0321,-78.489,anonymous,EN,F_BY3zZjKMcU6raV3,signature.png,10718,image/png,4,3,4,2,4,2,4,2,1,4,1,4,20,syn5na,2,1,,4,,7,7,21,1,1,89709
2023-12-04 09:36:54,2023-12-04 09:39:01,0,199.111.212.134,100,126,1,2023-12-04 09:39:02,R_2xznhC5CgGH3rFu,,,,,38.041,-78.4883,anonymous,EN,F_2zTpMEo1MavlmYC,signature.png,8542,image/png,3,3,3,3,3,3,3,3,4,3,4,2,18,afd9ye,1,1,,4,,5,7,21,1,2,830063
2023-12-04 09:36:55,2023-12-04 09:39:05,0,199.111.225.252,100,129,1,2023-12-04 09:39:06,R_bgxbZ5g150uxxqp,,,,,38.0321,-78.489,anonymous,EN,F_1LiELNjzBl6zQGW,signature.png,8281,image/png,4,3,4,3,3,2,3,2,3,4,2,2,18,suw2wn,1,2,,1,,2,3,4,2,2,319968
2023-12-04 09:36:52,2023-12-04 09:39:42,0,199.111.212.157,100,170,1,2023-12-04 09:39:43,R_2riGQkV98KRWycg,,,,,38.041,-78.4883,anonymous,EN,F_pKODRJGhQOqggAF,signature.png,7416,image/png,4,2,4,2,3,2,4,1,2,4,2,2,18,bty6sa,1,1,,5,,6,6,21,1,2,68707
2023-12-04 09:36:52,2023-12-04 09:39:48,0,199.111.212.161,100,175,1,2023-12-04 09:39:49,R_s59j5DSqd8gR6IF,,,,,38.041,-78.4883,anonymous,EN,F_vuCd1L95EKrsi2J,signature.png,7575,image/png,4,3,4,2,4,1,3,3,1,2,2,3,18,jtu8mq,1,2,,1,,7,3,8,1,1,260227
2023-12-04 09:36:53,2023-12-04 09:40:14,0,71.63.18.155,100,201,1,2023-12-04 09:40:15,R_1f9gF9fusUPvVxx,,,,,37.2532,-80.4347,anonymous,EN,F_3eeuf7SNgnRDhUa,signature.png,24204,image/png,3,4,3,4,3,4,3,4,2,3,4,3,19,qqv6uf,2,1,,"4,8",,6,6,7,1,2,376608
2023-12-04 09:36:53,2023-12-04 09:40:42,0,199.111.213.46,100,229,1,2023-12-04 09:40:43,R_2ctrvQZH2blBGMz,,,,,38.0321,-78.489,anonymous,EN,F_cvjobXuW6I6LdGV,signature.png,12314,image/png,4,2,4,2,4,2,4,2,1,4,2,3,19,tzx2qe,1,2,,4,,5,5,21,1,2,237951
2023-12-04 09:36:56,2023-12-04 09:40:42,0,199.111.212.168,100,225,1,2023-12-04 09:40:43,R_2VDsJBmyXT9wpFe,,,,,38.041,-78.4883,anonymous,EN,F_3mgyIcYezxu60Gi,signature.png,7338,image/png,4,2,4,2,4,2,4,2,2,4,2,4,18,pma2mh,1,2,,5,,6,5,21,1,2,237680
2023-12-04 09:36:53,2023-12-04 09:41:04,0,199.111.213.183,100,251,1,2023-12-04 09:41:05,R_3fUCNOqJ9rszayX,,,,,38.0321,-78.489,anonymous,EN,F_2qwUgteauT7y3s4,signature.png,15631,image/png,3,4,3,4,3,4,2,3,3,3,4,3,19,cer7we,2,1,,6,Caribbean-American,4,6,6,1,2,164928
2023-12-04 09:36:52,2023-12-04 09:42:15,0,174.206.41.255,100,323,1,2023-12-04 09:42:16,R_2uNCYJOP2clz5Gq,,,,,38.6583,-77.2481,anonymous,EN,F_9mlpOH9lMCZ1Z8l,signature.png,9114,image/png,4,2,4,2,4,2,4,2,1,4,1,3,18,bsc9rw,1,1,,4,,5,5,21,1,2,231868
2023-12-04 09:37:48,2023-12-04 09:45:16,0,64.99.240.185,100,447,1,2023-12-04 09:45:17,R_2pQWLMAZj5ZT4SC,,,,,38.0321,-78.489,anonymous,EN,F_1PT3PIcN5I8cwNi,signature.png,14714,image/png,2,5,2,5,3,3,2,5,4,1,2,1,20,yxh6rh,3,2,,5,,5,6,5,1,2,775291
2023-12-04 09:45:49,2023-12-04 09:47:00,0,199.111.212.134,35,71,0,2023-12-11 10:06:22,R_2pXHWbkNENCy96k,,,,,,,anonymous,EN,F_273WeoRtxEao0F0,signature.png,6494,image/png,3,3,3,3,3,3,3,3,4,3,4,2,18,afd9ye,,,,,,,,,,,411179
2024-01-30 13:04:21,2024-01-30 13:06:11,0,104.28.76.154,100,110,1,2024-01-30 13:06:13,R_7ARp6zIKQbnCgvp,,,,,37.5538,-77.4603,anonymous,EN,F_1pXTK7mNcO2jTVE,signature.png,7123,image/png,4,2,4,2,5,3,5,3,3,3,3,4,20,Znd4ty,3,2,,"1,4",,7,6,8,1,2,168016
2024-01-30 13:04:19,2024-01-30 13:06:15,0,199.111.212.100,100,115,1,2024-01-30 13:06:16,R_7lxXpXkfKgQgWpu,,,,,38.0321,-78.489,anonymous,EN,F_2S77xuACaQpvwGt,signature.png,8978,image/png,4,2,4,3,4,3,4,3,2,4,2,4,18,yhp6vx,1,1,,4,,7,7,21,1,1,186600
